gtkmm3 3.24.1-1
gucharmap 12.0.1-1
guile 2.2.6-1
gupnp 1.2.1-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.40.1-2
gvfs-mtp 1.40.1-2
gvim 8.1.1635-1
gzip 1.10-1
harfbuzz 2.5.3-1
harfbuzz-icu 2.5.3-1
hicolor-icon-theme 0.17-1
highlight 3.52-1
hollywood 1.14-2
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hunspell-en_US 2018.04.16-5
hwids 20190316-1
hyphen 2.8.8-2
i3-gaps 4.16.1-1
i3lock-color 2.12-1
i3lock-fancy-git r170.7accfb2-1
i3status 2.13-1
iana-etc 20190702-1
icu 64.2-1
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.53-1
imlib2 1.5.1-1
inetutils 1.9.4-7
iniparser 4.1-1
insomnia 6.5.3-1
intel-ucode 20190618-1
intellij-idea-community-edition 2:2019.1.3-1
intellij-jdk 8u202b1514.2-1
intltool 0.51.0-4
iproute2 5.2.0-1
iptables 1:1.8.3-1
iputils 20180629.f6aac8d-4
ipython 7.6.1-1
iso-codes 4.3-1
iw 5.0.1-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-openjfx 8.u172-2
java-runtime-common 3-1
jbig2dec 0.16-1
jdk7-openjdk 7.u171_2.6.13-1
jdk8 8u202-1
jdk8-openjdk 8.u222-2
jdownloader2 latest-13
jemalloc 1:5.2.0-1
jfsutils 1.1.15-6
jp2a 1.0.7-2
jq 1.6-2
jre7-openjdk 7.u171_2.6.13-1
jre7-openjdk-headless 7.u171_2.6.13-1
jre8-openjdk 8.u222-2
jre8-openjdk-headless 8.u222-2
js60 60.8.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
jupyter 4.1.0-7
jupyter-nbconvert 5.5.0-1
jupyter-nbformat 4.4.0-2
jupyter-notebook 5.7.8-1
jupyter-widgetsnbextension 1:3.5.0-1
jupyter_console 6.0.0-1
kafka 2.12_2.1.0-1
kbd 2.0.4-2
keyutils 1.6-1
kmod 26-2
krb5 1.17-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.5.5-1
ldns 1.7.0-4
lemonbar-xft-git 269.00a3fe6-1
less 551-1
lftp 4.8.4-5
lib32-alsa-lib 1.1.9-1
lib32-alsa-plugins 1.1.9-1
lib32-atk 2.32.0-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.7-2
lib32-cairo 1.16.0-2
lib32-curl 7.65.1-1
lib32-dbus 1.12.16-1
lib32-dbus-glib 0.110-1
lib32-e2fsprogs 1.45.2-1
lib32-expat 2.2.7-1
lib32-flac 1.3.2-2
lib32-fontconfig 2:2.13.1+12+g5f5ec56-1
lib32-freeglut 3.0.0-2
lib32-freetype2 2.10.1-1
lib32-fribidi 1.0.5-1
lib32-gcc-libs 9.1.0-2
lib32-gdk-pixbuf2 2.38.1-1
lib32-giflib 5.2.1-1
lib32-glew1.10 1.10.0-4
lib32-glib2 2.60.5-1
lib32-glibc 2.29-3
lib32-glu 9.0.0-4
lib32-gmp 6.1.2-2
lib32-gnutls 3.6.8-2
lib32-gtk2 2.24.32-1
lib32-harfbuzz 2.5.3-1
lib32-icu 64.2-1
lib32-imlib2 1.5.1-1
lib32-keyutils 1.6-1
lib32-krb5 1.17-1
lib32-libappindicator-gtk2 12.10.0-10
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcaca 0.99.beta19-2
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcap 2.27-1
lib32-libcups 2.2.11-1
lib32-libcurl-compat 7.65.1-1
lib32-libcurl-gnutls 7.65.1-2
lib32-libdatrie 0.2.12-1
lib32-libdbusmenu-glib 16.04.0-3
lib32-libdbusmenu-gtk2 16.04.0-3
lib32-libdrm 2.4.99-1
lib32-libelf 0.176-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.4-1
lib32-libgcrypt15 1.5.6-5
lib32-libglvnd 1.1.1-1
lib32-libgpg-error 1.36-1
lib32-libgudev 232-1
lib32-libice 1.0.9-3
lib32-libid3tag 0.15.1b-2
